% Berger 1978 solutions for the Milankovitch parameters, as output by Berger_orbpar.m
% Calendar year (AD), eccentricity, obliquity (degrees), precession/longitude of perigee (degrees)
  -9.9999900000000000e+05   2.7526737938936924e-02   2.3666674721954983e+01   9.2748007266496302e+01
  -9.9989900000000000e+05   2.7645507910615125e-02   2.3676770894358224e+01   9.4322710222592420e+01
  -9.9979900000000000e+05   2.7764200825747744e-02   2.3686776423082065e+01   9.5897973803914169e+01
  -9.9969900000000000e+05   2.7882814359111222e-02   2.3696688672250708e+01   9.7473790050717909e+01
  -9.9959900000000000e+05   2.8001346209141305e-02   2.3706505035035430e+01   9.9050151340574914e+01
  -9.9949900000000000e+05   2.8119794097390443e-02   2.3716222934261719e+01   1.0062705038176148e+02
  -9.9939900000000000e+05   2.8238155767997597e-02   2.3725839823004030e+01   1.0220448020676940e+02
  -9.9929900000000000e+05   2.8356428987171618e-02   2.3735353185168179e+01   1.0378243416588306e+02
  -9.9919900000000000e+05   2.8474611542688478e-02   2.3744760536061829e+01   1.0536090592080228e+02
  -9.9909900000000000e+05   2.8592701243397738e-02   2.3754059422952356e+01   1.0693988943837553e+02
  -9.9899900000000000e+05   2.8710695918744901e-02   2.3763247425612722e+01   1.0851937898439930e+02
  -9.9889900000000000e+05   2.8828593418302708e-02   2.3772322156854759e+01   1.1009936911748154e+02
  -9.9879900000000000e+05   2.8946391611314272e-02   2.3781281263050563e+01   1.1167985468297958e+02
  -9.9869900000000000e+05   2.9064088386247695e-02   2.3790122424641130e+01   1.1326083080704478e+02
  -9.9859900000000000e+05   2.9181681650363445e-02   2.3798843356633178e+01   1.1484229289067827e+02
  -9.9849900000000000e+05   2.9299169329287295e-02   2.3807441809083386e+01   1.1642423660392410e+02
  -9.9839900000000000e+05   2.9416549366599209e-02   2.3815915567570688e+01   1.1800665788009867e+02
  -9.9829900000000000e+05   2.9533819723428584e-02   2.3824262453656189e+01   1.1958955291010939e+02
  -9.9819900000000000e+05   2.9650978378059974e-02   2.3832480325330987e+01   1.2117291813681959e+02
  -9.9809900000000000e+05   2.9768023325550116e-02   2.3840567077451848e+01   1.2275675024954383e+02
  -9.9799900000000000e+05   2.9884952577350250e-02   2.3848520642164949e+01   1.2434104617854302e+02
  -9.9789900000000000e+05   3.0001764160943283e-02   2.3856338989317479e+01   1.2592580308964016e+02
  -9.9779900000000000e+05   3.0118456119483529e-02   2.3864020126857206e+01   1.2751101837889962e+02
  -9.9769900000000000e+05   3.0235026511448937e-02   2.3871562101220373e+01   1.2909668966736291e+02
  -9.9759900000000000e+05   3.0351473410302414e-02   2.3878962997707504e+01   1.3068281479588165e+02
  -9.9749900000000000e+05   3.0467794904156874e-02   2.3886220940847679e+01   1.3226939181997608e+02
  -9.9739900000000000e+05   3.0583989095452041e-02   2.3893334094750770e+01   1.3385641900482653e+02
  -9.9729900000000000e+05   3.0700054100639432e-02   2.3900300663448405e+01   1.3544389482027782e+02
  -9.9719900000000000e+05   3.0815988049871259e-02   2.3907118891223092e+01   1.3703181793594325e+02
  -9.9709900000000000e+05   3.0931789086698611e-02   2.3913787062925973e+01   1.3862018721638293e+02
  -9.9699900000000000e+05   3.1047455367780478e-02   2.3920303504283158e+01   1.4020900171632547e+02
  -9.9689900000000000e+05   3.1162985062591915e-02   2.3926666582190812e+01   1.4179826067598441e+02
  -9.9679900000000000e+05   3.1278376353146890e-02   2.3932874704998834e+01   1.4338796351641292e+02
  -9.9669900000000000e+05   3.1393627433721989e-02   2.3938926322783473e+01   1.4497810983497885e+02
  -9.9659900000000000e+05   3.1508736510590933e-02   2.3944819927608979e+01   1.4656869940083453e+02
  -9.9649900000000000e+05   3.1623701801763243e-02   2.3950554053778106e+01   1.4815973215052992e+02
  -9.9639900000000000e+05   3.1738521536727099e-02   2.3956127278071875e+01   1.4975120818362313e+02
  -9.9629900000000000e+05   3.1853193956204000e-02   2.3961538219978511e+01   1.5134312775840357e+02
  -9.9619900000000000e+05   3.1967717311904495e-02   2.3966785541911573e+01   1.5293549128766105e+02
  -9.9609900000000000e+05   3.2082089866289035e-02   2.3971867949417671e+01   1.5452829933453415e+02
  -9.9599900000000000e+05   3.2196309892340340e-02   2.3976784191373579e+01   1.5612155260839984e+02
  -9.9589900000000000e+05   3.2310375673334550e-02   2.3981533060172922e+01   1.5771525196084184e+02
  -9.9579900000000000e+05   3.2424285502620165e-02   2.3986113391902556e+01   1.5930939838168854e+02
  -9.9569900000000000e+05   3.2538037683405623e-02   2.3990524066508886e+01   1.6090399299509926e+02
  -9.9559900000000000e+05   3.2651630528546201e-02   2.3994764007953712e+01   1.6249903705570944e+02
  -9.9549900000000000e+05   3.2765062360338819e-02   2.3998832184360477e+01   1.6409453194486787e+02
  -9.9539900000000000e+05   3.2878331510323391e-02   2.4002727608150188e+01   1.6569047916689698e+02
  -9.9529900000000000e+05   3.2991436319085743e-02   2.4006449336167822e+01   1.6728688034542472e+02
  -9.9519900000000000e+05   3.3104375136065997e-02   2.4009996469798804e+01   1.6888373721979320e+02
  -9.9509900000000000e+05   3.3217146319373364e-02   2.4013368155075792e+01   1.7048105164150061e+02
  -9.9499900000000000e+05   3.3329748235602780e-02   2.4016563582776126e+01   1.7207882557071969e+02
  -9.9489900000000000e+05   3.3442179259657902e-02   2.4019581988509589e+01   1.7367706107285755e+02
  -9.9479900000000000e+05   3.3554437774577034e-02   2.4022422652796827e+01   1.7527576031519172e+02
  -9.9469900000000000e+05   3.3666522171363768e-02   2.4025084901138595e+01   1.7687492556353476e+02
